town,town_norm,match_type,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,LON,LAT,dist_km,total_215,大阪赤十字病院,社会医療法人警和会　第二大阪警察病院,社会医療法人警和会　大阪警察病院,左診療所,社会福祉法人四天王寺福祉事業団　四天王寺病院,医療法人警和会　大阪警察病院付属人間ドッククリニック,独立行政法人国立病院機構　大阪医療センター,医療法人大峯会　高山診療所,医療法人アエバ会　アエバ外科病院,大阪公立大学医学部附属病院
大阪市中央区上汐一丁目,大阪市中央区上汐一丁目,code_in_car30,大阪市中央区,上汐一丁目,大阪市中央区上汐一丁目,27128004001,135.5179003600248,34.670545610906316,0.9843434753400252,4287.0,140.0,0.0,256.0,0.0,78.0,281.0,157.0,0.0,0.0,0.0
大阪市天王寺区上本町三丁目,大阪市天王寺区上本町三丁目,code_in_car30,大阪市天王寺区,上本町三丁目,大阪市天王寺区上本町三丁目,27109001003,135.5211511526168,34.67235084379571,0.9972943796542256,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区桃谷三丁目,大阪市生野区桃谷三丁目,code_in_car30,大阪市生野区,桃谷三丁目,大阪市生野区桃谷三丁目,27116002003,135.53504995196823,34.65990980870025,1.0129434433204394,10292.0,1637.0,490.0,781.0,92.0,246.0,177.0,0.0,0.0,464.0,234.0
大阪市中央区中寺二丁目,大阪市中央区中寺二丁目,code_in_car30,大阪市中央区,中寺二丁目,大阪市中央区中寺二丁目,27128005002,135.5148998909871,34.66826819101909,1.0510405059602166,2198.0,62.0,0.0,106.0,0.0,0.0,0.0,68.0,119.0,0.0,0.0
大阪市天王寺区四天王寺二丁目,大阪市天王寺区四天王寺二丁目,code_in_car30,大阪市天王寺区,四天王寺二丁目,大阪市天王寺区四天王寺二丁目,27109009002,135.519067965721,34.655948279321585,1.0554807170142282,4906.0,352.0,903.0,409.0,0.0,332.0,0.0,61.0,0.0,0.0,0.0
大阪市天王寺区勝山一丁目,大阪市天王寺区勝山一丁目,code_in_car30,大阪市天王寺区,勝山一丁目,大阪市天王寺区勝山一丁目,27109018001,135.52089166085076,34.65518673724019,1.0559224365031388,10196.0,491.0,1923.0,804.0,65.0,1036.0,88.0,0.0,56.0,0.0,326.0
大阪市天王寺区勝山四丁目,大阪市天王寺区勝山四丁目,code_in_car30,大阪市天王寺区,勝山四丁目,大阪市天王寺区勝山四丁目,27109018004,135.52594742818596,34.65452841114867,1.0567630811772772,8190.0,283.0,1427.0,503.0,191.0,227.0,116.0,0.0,32.0,99.0,28.0
大阪市天王寺区上汐六丁目,大阪市天王寺区上汐六丁目,code_in_car30,大阪市天王寺区,上汐六丁目,大阪市天王寺区上汐六丁目,27109002006,135.51589960447322,34.65829456045075,1.0588913184747082,3084.0,0.0,0.0,301.0,0.0,414.0,40.0,0.0,96.0,0.0,37.0
大阪市生野区勝山北二丁目,大阪市生野区勝山北二丁目,code_in_car30,大阪市生野区,勝山北二丁目,大阪市生野区勝山北二丁目,27116003002,135.53180929991143,34.65617239502801,1.0627218503698082,7280.0,841.0,276.0,879.0,74.0,65.0,0.0,0.0,0.0,197.0,1196.0
大阪市中央区谷町八丁目,大阪市中央区谷町八丁目,code_in_car30,大阪市中央区,谷町八丁目,大阪市中央区谷町八丁目,27128055008,135.5166952255888,34.67063673224952,1.0687644964802274,3183.0,0.0,0.0,198.0,0.0,0.0,137.0,114.0,197.0,0.0,0.0
