CITY_NAME,S_NAME,TOWN_NAME_4COL,POP,__srcfile
昭島市,もくせいの杜一丁目,東京都昭島市もくせいの杜一丁目,,h03_13.csv
昭島市,もくせいの杜三丁目,東京都昭島市もくせいの杜三丁目,,h03_13.csv
調布市,野水二丁目,東京都調布市野水二丁目,,h03_13.csv
日野市,程久保四丁目,東京都日野市程久保四丁目,,h03_13.csv
日野市,程久保七丁目,東京都日野市程久保七丁目,,h03_13.csv
日野市,万願寺一丁目,東京都日野市万願寺一丁目,,h03_13.csv
日野市,万願寺二丁目,東京都日野市万願寺二丁目,,h03_13.csv
福生市,北田園,東京都福生市北田園,,h03_13.csv
福生市,南田園,東京都福生市南田園,,h03_13.csv
東大和市,多摩湖一丁目,東京都東大和市多摩湖一丁目,,h03_13.csv
東大和市,多摩湖二丁目,東京都東大和市多摩湖二丁目,,h03_13.csv
東大和市,多摩湖三丁目,東京都東大和市多摩湖三丁目,,h03_13.csv
東大和市,多摩湖四丁目,東京都東大和市多摩湖四丁目,,h03_13.csv
東大和市,多摩湖五丁目,東京都東大和市多摩湖五丁目,,h03_13.csv
東大和市,多摩湖六丁目,東京都東大和市多摩湖六丁目,,h03_13.csv
武蔵村山市,残堀三丁目,東京都武蔵村山市残堀三丁目,,h03_13.csv
武蔵村山市,中央五丁目,東京都武蔵村山市中央五丁目,,h03_13.csv
武蔵村山市,三ツ木四丁目,東京都武蔵村山市三ツ木四丁目,,h03_13.csv
武蔵村山市,岸四丁目,東京都武蔵村山市岸四丁目,,h03_13.csv
武蔵村山市,中原五丁目,東京都武蔵村山市中原五丁目,,h03_13.csv
多摩市,諏訪六丁目,東京都多摩市諏訪六丁目,,h03_13.csv
多摩市,永山七丁目,東京都多摩市永山七丁目,,h03_13.csv
多摩市,南野一丁目,東京都多摩市南野一丁目,,h03_13.csv
多摩市,山王下二丁目,東京都多摩市山王下二丁目,,h03_13.csv
多摩市,唐木田二丁目,東京都多摩市唐木田二丁目,,h03_13.csv
多摩市,唐木田三丁目,東京都多摩市唐木田三丁目,,h03_13.csv
稲城市,東長沼,東京都稲城市東長沼,,h03_13.csv
羽村市,川崎,東京都羽村市川崎,,h03_13.csv
瑞穂町,長岡二丁目,東京都瑞穂町長岡二丁目,,h03_13.csv
日の出町,大字平井肝要・松尾・三ツ沢,東京都日の出町大字平井肝要・松尾・三ツ沢,,h03_13.csv
檜原村,大嶽,東京都檜原村大嶽,,h03_13.csv
奥多摩町,原,東京都奥多摩町原,,h03_13.csv
大島町,元町字神明,東京都大島町元町字神明,,h03_13.csv
大島町,元町字ホチマツ,東京都大島町元町字ホチマツ,,h03_13.csv
大島町,元町字オンダシ,東京都大島町元町字オンダシ,,h03_13.csv
大島町,元町字金砂,東京都大島町元町字金砂,,h03_13.csv
大島町,元町字吉谷,東京都大島町元町字吉谷,,h03_13.csv
大島町,元町字丸塚,東京都大島町元町字丸塚,,h03_13.csv
大島町,元町字神達,東京都大島町元町字神達,,h03_13.csv
大島町,元町字みたき堂,東京都大島町元町字みたき堂,,h03_13.csv
大島町,元町字木橋の尾,東京都大島町元町字木橋の尾,,h03_13.csv
大島町,元町字橋の沢,東京都大島町元町字橋の沢,,h03_13.csv
大島町,元町字アイノウ,東京都大島町元町字アイノウ,,h03_13.csv
大島町,元町字仲中,東京都大島町元町字仲中,,h03_13.csv
大島町,元町字水汲沢,東京都大島町元町字水汲沢,,h03_13.csv
大島町,元町字鼠つど,東京都大島町元町字鼠つど,,h03_13.csv
大島町,岡田字平浜,東京都大島町岡田字平浜,,h03_13.csv
大島町,岡田字長坂,東京都大島町岡田字長坂,,h03_13.csv
大島町,岡田字大久保,東京都大島町岡田字大久保,,h03_13.csv
大島町,岡田字川の道,東京都大島町岡田字川の道,,h03_13.csv
大島町,岡田字七間沢,東京都大島町岡田字七間沢,,h03_13.csv
大島町,泉津字大坂,東京都大島町泉津字大坂,,h03_13.csv
大島町,泉津字木出場,東京都大島町泉津字木出場,,h03_13.csv
大島町,泉津字峠,東京都大島町泉津字峠,,h03_13.csv
大島町,泉津字波牛,東京都大島町泉津字波牛,,h03_13.csv
大島町,泉津字福重,東京都大島町泉津字福重,,h03_13.csv
大島町,泉津字原野,東京都大島町泉津字原野,,h03_13.csv
大島町,泉津字河内,東京都大島町泉津字河内,,h03_13.csv
大島町,差木地字奥山,東京都大島町差木地字奥山,,h03_13.csv
大島町,野増字大石,東京都大島町野増字大石,,h03_13.csv
大島町,野増字のんなか,東京都大島町野増字のんなか,,h03_13.csv
大島町,野増字橋の沢,東京都大島町野増字橋の沢,,h03_13.csv
大島町,野増字マツコウ,東京都大島町野増字マツコウ,,h03_13.csv
大島町,野増字ヲクノクボ,東京都大島町野増字ヲクノクボ,,h03_13.csv
大島町,野増字ワダ,東京都大島町野増字ワダ,,h03_13.csv
大島町,野増字アジコノナホウ,東京都大島町野増字アジコノナホウ,,h03_13.csv
大島町,野増字エンシュウアイノウ,東京都大島町野増字エンシュウアイノウ,,h03_13.csv
大島町,野増字ツヅコ沢,東京都大島町野増字ツヅコ沢,,h03_13.csv
大島町,野増字王の上,東京都大島町野増字王の上,,h03_13.csv
大島町,野増字下平,東京都大島町野増字下平,,h03_13.csv
大島町,野増字下センバ,東京都大島町野増字下センバ,,h03_13.csv
大島町,野増字前世,東京都大島町野増字前世,,h03_13.csv
大島町,野増字上山,東京都大島町野増字上山,,h03_13.csv
新島村,本村字阿土山,東京都新島村本村字阿土山,,h03_13.csv
新島村,若郷字新島山,東京都新島村若郷字新島山,,h03_13.csv
新島村,若郷字木戸上,東京都新島村若郷字木戸上,,h03_13.csv
新島村,若郷字山神北東,東京都新島村若郷字山神北東,,h03_13.csv
新島村,若郷字野原淡井道南,東京都新島村若郷字野原淡井道南,,h03_13.csv
新島村,若郷字渡世山,東京都新島村若郷字渡世山,,h03_13.csv
