rank,施設名_実データ列,利用者数合計,佐々総合病院フラグ
1,学校法人　順天堂　順天堂大学医学部附属練馬病院,227923.0,0
2,医療法人社団　時正会　佐々総合病院,163445.0,1
3,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,131109.0,0
4,医療法人　徳洲会　武蔵野徳洲会病院,128379.0,0
5,医療法人財団　荻窪病院,89059.0,0
6,医療法人社団　東山会　調布東山病院,84106.0,0
7,緑風荘病院,74911.0,0
8,医療法人財団　緑秀会　田無病院,50114.0,0
9,公益財団法人　結核予防会　複十字病院,49904.0,0
10,医療法人社団　永寿会　三鷹中央病院,42470.0,0
11,医療法人社団　武蔵野会　一橋病院,35638.0,0
12,医療法人　啓仁会　吉祥寺南病院,32123.0,0
13,医療法人財団　きよせ旭が丘記念病院,26134.0,0
14,医療法人社団　山斗会　山中病院,23094.0,0
15,独立行政法人　国立病院機構　東京病院,22811.0,0
