CITY_NAME,S_NAME,dominant_sel6,max_count_sel6,match_type2,plot_label
杉並区,西荻南二丁目,医療法人財団　荻窪病院,1219.0,exact,医療法人財団　荻窪病院
杉並区,西荻南三丁目,学校法人　順天堂　順天堂大学医学部附属練馬病院,309.0,exact,学校法人　順天堂　順天堂大学医学部附属練馬病院
杉並区,西荻南四丁目,医療法人社団　時正会　佐々総合病院,635.0,exact,医療法人社団　時正会　佐々総合病院
杉並区,西荻北一丁目,医療法人財団　荻窪病院,1247.0,exact,医療法人財団　荻窪病院
杉並区,西荻北二丁目,医療法人財団　荻窪病院,902.0,exact,医療法人財団　荻窪病院
杉並区,西荻北三丁目,医療法人財団　荻窪病院,1798.0,exact,医療法人財団　荻窪病院
杉並区,西荻北四丁目,医療法人財団　荻窪病院,1281.0,exact,医療法人財団　荻窪病院
杉並区,西荻北五丁目,医療法人財団　荻窪病院,1073.0,exact,医療法人財団　荻窪病院
杉並区,今川一丁目,医療法人財団　荻窪病院,1772.0,exact,医療法人財団　荻窪病院
杉並区,今川二丁目,医療法人財団　荻窪病院,1191.0,exact,医療法人財団　荻窪病院
杉並区,今川三丁目,医療法人財団　荻窪病院,3562.0,exact,医療法人財団　荻窪病院
杉並区,今川四丁目,医療法人財団　荻窪病院,365.0,exact,医療法人財団　荻窪病院
杉並区,清水一丁目,医療法人財団　荻窪病院,1236.0,exact,医療法人財団　荻窪病院
杉並区,清水二丁目,医療法人財団　荻窪病院,527.0,exact,医療法人財団　荻窪病院
杉並区,清水三丁目,医療法人財団　荻窪病院,719.0,exact,医療法人財団　荻窪病院
杉並区,桃井一丁目,医療法人財団　荻窪病院,1308.0,exact,医療法人財団　荻窪病院
杉並区,桃井二丁目,医療法人財団　荻窪病院,972.0,exact,医療法人財団　荻窪病院
杉並区,桃井三丁目,医療法人財団　荻窪病院,2868.0,exact,医療法人財団　荻窪病院
杉並区,桃井四丁目,医療法人財団　荻窪病院,754.0,exact,医療法人財団　荻窪病院
杉並区,井草一丁目,医療法人財団　荻窪病院,569.0,exact,医療法人財団　荻窪病院
杉並区,井草二丁目,学校法人　順天堂　順天堂大学医学部附属練馬病院,1374.0,exact,学校法人　順天堂　順天堂大学医学部附属練馬病院
杉並区,井草三丁目,学校法人　順天堂　順天堂大学医学部附属練馬病院,300.0,exact,学校法人　順天堂　順天堂大学医学部附属練馬病院
杉並区,井草四丁目,医療法人財団　荻窪病院,157.0,exact,医療法人財団　荻窪病院
杉並区,井草五丁目,医療法人財団　荻窪病院,802.0,exact,医療法人財団　荻窪病院
杉並区,下井草一丁目,医療法人財団　荻窪病院,282.0,exact,医療法人財団　荻窪病院
杉並区,下井草二丁目,医療法人財団　荻窪病院,264.0,exact,医療法人財団　荻窪病院
杉並区,下井草三丁目,医療法人財団　荻窪病院,533.0,exact,医療法人財団　荻窪病院
杉並区,下井草四丁目,医療法人財団　荻窪病院,1263.0,exact,医療法人財団　荻窪病院
杉並区,下井草五丁目,医療法人財団　荻窪病院,651.0,exact,医療法人財団　荻窪病院
杉並区,上井草一丁目,医療法人財団　荻窪病院,561.0,exact,医療法人財団　荻窪病院
杉並区,上井草二丁目,医療法人財団　荻窪病院,1992.0,exact,医療法人財団　荻窪病院
杉並区,上井草三丁目,医療法人財団　荻窪病院,1889.0,exact,医療法人財団　荻窪病院
杉並区,上井草四丁目,医療法人財団　荻窪病院,389.0,exact,医療法人財団　荻窪病院
杉並区,善福寺一丁目,医療法人財団　荻窪病院,1498.0,exact,医療法人財団　荻窪病院
杉並区,善福寺二丁目,医療法人財団　荻窪病院,329.0,exact,医療法人財団　荻窪病院
杉並区,善福寺三丁目,医療法人財団　荻窪病院,1366.0,exact,医療法人財団　荻窪病院
杉並区,善福寺四丁目,医療法人財団　荻窪病院,539.0,exact,医療法人財団　荻窪病院
杉並区,松庵一丁目,医療法人財団　荻窪病院,355.0,exact,医療法人財団　荻窪病院
杉並区,松庵二丁目,医療法人財団　荻窪病院,301.0,exact,医療法人財団　荻窪病院
杉並区,松庵三丁目,医療法人財団　荻窪病院,613.0,exact,医療法人財団　荻窪病院
杉並区,宮前一丁目,,0.0,exact,その他(6施設すべて0人)
杉並区,宮前二丁目,医療法人財団　荻窪病院,525.0,exact,医療法人財団　荻窪病院
杉並区,宮前三丁目,医療法人財団　荻窪病院,827.0,exact,医療法人財団　荻窪病院
杉並区,宮前四丁目,医療法人財団　荻窪病院,130.0,exact,医療法人財団　荻窪病院
杉並区,宮前五丁目,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,904.0,exact,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター
杉並区,久我山一丁目,医療法人財団　荻窪病院,96.0,exact,医療法人財団　荻窪病院
杉並区,久我山二丁目,学校法人　順天堂　順天堂大学医学部附属練馬病院,61.0,exact,学校法人　順天堂　順天堂大学医学部附属練馬病院
杉並区,久我山三丁目,医療法人財団　荻窪病院,768.0,exact,医療法人財団　荻窪病院
