town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,公益財団法人　結核予防会　複十字病院,医療法人　啓仁会　吉祥寺南病院,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　山斗会　山中病院,医療法人社団　時正会　佐々総合病院,医療法人社団　東山会　調布東山病院,医療法人社団　武蔵野会　一橋病院,医療法人社団　永寿会　三鷹中央病院,医療法人財団　きよせ旭が丘記念病院,医療法人財団　緑秀会　田無病院,医療法人財団　荻窪病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,学校法人　順天堂　順天堂大学医学部附属練馬病院,独立行政法人　国立病院機構　東京病院,緑風荘病院
杉並区阿佐谷南一丁目,杉並区阿佐谷南一丁目,杉並区,阿佐谷南一丁目,139.63973575994353,35.70058152676969,9.673464047415557,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,382.0,0.0,0.0
杉並区阿佐谷南二丁目,杉並区阿佐谷南二丁目,杉並区,阿佐谷南二丁目,139.64126837476906,35.70388394828182,9.688370067470032,426.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,47.0,0.0,0.0
杉並区阿佐谷南三丁目,杉並区阿佐谷南三丁目,杉並区,阿佐谷南三丁目,139.63235029274475,35.70297932671229,8.955801589379853,528.0,0.0,65.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0
杉並区阿佐谷北一丁目,杉並区阿佐谷北一丁目,杉並区,阿佐谷北一丁目,139.6378799338489,35.707507391289504,9.281024986916808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杉並区阿佐谷北二丁目,杉並区阿佐谷北二丁目,杉並区,阿佐谷北二丁目,139.63297409407906,35.706221264243176,8.896071176197994,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0
杉並区阿佐谷北三丁目,杉並区阿佐谷北三丁目,杉並区,阿佐谷北三丁目,139.6320166896925,35.71006694693515,8.695851083395654,389.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,275.0,0.0,0.0
杉並区阿佐谷北四丁目,杉並区阿佐谷北四丁目,杉並区,阿佐谷北四丁目,139.6362488881348,35.71186015539674,9.019901352451376,1617.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,356.0,0.0,0.0
杉並区阿佐谷北五丁目,杉並区阿佐谷北五丁目,杉並区,阿佐谷北五丁目,139.64085771410754,35.70985278565085,9.475930871586876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杉並区阿佐谷北六丁目,杉並区阿佐谷北六丁目,杉並区,阿佐谷北六丁目,139.63853813087707,35.7143789441813,9.16503374684152,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,59.0,0.0,0.0
杉並区天沼一丁目,杉並区天沼一丁目,杉並区,天沼一丁目,139.62826368525404,35.70795134492403,8.433153035265821,426.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,260.0,0.0,0.0
杉並区天沼二丁目,杉並区天沼二丁目,杉並区,天沼二丁目,139.62481095759497,35.70830873894837,8.12333877841014,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0
杉並区天沼三丁目,杉並区天沼三丁目,杉並区,天沼三丁目,139.62019895226263,35.70790911745729,7.74017288318742,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,49.0,0.0,0.0,0.0
杉並区本天沼一丁目,杉並区本天沼一丁目,杉並区,本天沼一丁目,139.63121954237567,35.71360516137879,8.534610191781406,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,158.0,0.0,0.0
杉並区本天沼二丁目,杉並区本天沼二丁目,杉並区,本天沼二丁目,139.6261461705262,35.71400852549334,8.077589216929324,1191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,1000.0,0.0,134.0,0.0,0.0
杉並区本天沼三丁目,杉並区本天沼三丁目,杉並区,本天沼三丁目,139.6220464419361,35.714225031035696,7.711279022893997,992.0,0.0,0.0,0.0,96.0,74.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,334.0,0.0,0.0
杉並区成田西二丁目,杉並区成田西二丁目,杉並区,成田西二丁目,139.6270136815539,35.689099079209726,9.159094037898724,154.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杉並区成田西三丁目,杉並区成田西三丁目,杉並区,成田西三丁目,139.62914404147986,35.692308857790664,9.15895786371988,474.0,0.0,0.0,0.0,174.0,0.0,0.0,62.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0
杉並区成田西四丁目,杉並区成田西四丁目,杉並区,成田西四丁目,139.62922379161637,35.694402612376166,9.061837498102818,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0
杉並区成田東三丁目,杉並区成田東三丁目,杉並区,成田東三丁目,139.63732378868266,35.693830098406195,9.751819959528104,527.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0
杉並区成田東四丁目,杉並区成田東四丁目,杉並区,成田東四丁目,139.63583154306542,35.6968461410515,9.494645119545885,432.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,142.0,0.0,0.0
