施設名,患者数合計,上位3頻出回数
医療法人社団　時正会　佐々総合病院,85966.0,60
医療法人　徳洲会　武蔵野徳洲会病院,66223.0,45
医療法人財団　緑秀会　田無病院,31136.0,33
学校法人　順天堂　順天堂大学医学部附属練馬病院,5983.0,8
公益財団法人　結核予防会　複十字病院,2985.0,7
地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,2666.0,4
医療法人財団　荻窪病院,2332.0,2
緑風荘病院,2028.0,3
医療法人　啓仁会　吉祥寺南病院,914.0,3
独立行政法人　国立病院機構　東京病院,755.0,2
医療法人社団　武蔵野会　一橋病院,312.0,1
医療法人社団　山斗会　山中病院,272.0,1
医療法人社団　永寿会　三鷹中央病院,195.0,1
医療法人社団　東山会　調布東山病院,113.0,0
医療法人財団　きよせ旭が丘記念病院,0.0,0
