town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,学校法人　順天堂　順天堂大学医学部附属練馬病院,医療法人社団　時正会　佐々総合病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,医療法人　徳洲会　武蔵野徳洲会病院,医療法人財団　荻窪病院,医療法人社団　東山会　調布東山病院,緑風荘病院,医療法人財団　緑秀会　田無病院,公益財団法人　結核予防会　複十字病院,医療法人社団　永寿会　三鷹中央病院,医療法人社団　武蔵野会　一橋病院,医療法人　啓仁会　吉祥寺南病院,医療法人財団　きよせ旭が丘記念病院,医療法人社団　山斗会　山中病院,独立行政法人　国立病院機構　東京病院
西東京市柳沢六丁目,西東京市柳沢六丁目,西東京市,柳沢六丁目,139.5511164309401,35.72748652568436,1.140396618772079,1409.0,0.0,942.0,0.0,149.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市芝久保町二丁目,西東京市芝久保町二丁目,西東京市,芝久保町二丁目,139.5265987230093,35.726905707654595,1.1465063473074262,5048.0,0.0,2836.0,0.0,1737.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市西原町五丁目,西東京市西原町五丁目,西東京市,西原町五丁目,139.53353511184474,35.739202073388945,1.1514374870200412,872.0,0.0,754.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市向台町二丁目,西東京市向台町二丁目,西東京市,向台町二丁目,139.54094780666443,35.719377990553824,1.171693395059237,2265.0,0.0,617.0,0.0,1605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
西東京市向台町四丁目,西東京市向台町四丁目,西東京市,向台町四丁目,139.53347014304217,35.72007508625658,1.1805217003045363,16974.0,0.0,886.0,0.0,14935.0,0.0,0.0,0.0,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市緑町二丁目,西東京市緑町二丁目,西東京市,緑町二丁目,139.5358228600698,35.74018141994922,1.1884759020088786,3733.0,0.0,1501.0,0.0,246.0,0.0,0.0,0.0,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市芝久保町五丁目,西東京市芝久保町五丁目,西東京市,芝久保町五丁目,139.52604495836803,35.73312270536918,1.2101757131229864,3517.0,0.0,3056.0,0.0,219.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市向台町一丁目,西東京市向台町一丁目,西東京市,向台町一丁目,139.545811324532,35.72048717662784,1.2107991217360026,4127.0,0.0,1241.0,0.0,1979.0,0.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市柳沢五丁目,西東京市柳沢五丁目,西東京市,柳沢五丁目,139.55048432562654,35.72418557817796,1.2239506714611912,1888.0,0.0,1495.0,0.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市西原町四丁目,西東京市西原町四丁目,西東京市,西原町四丁目,139.52842618992833,35.73707472209915,1.2395632157409808,4249.0,0.0,2886.0,0.0,361.0,0.0,0.0,0.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市保谷町三丁目,西東京市保谷町三丁目,西東京市,保谷町三丁目,139.55253574009996,35.73029169886114,1.2412221347846748,1038.0,0.0,420.0,0.0,509.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市向台町三丁目,西東京市向台町三丁目,西東京市,向台町三丁目,139.5367745550956,35.71871908739822,1.2423356664794876,13831.0,0.0,1397.0,0.0,12262.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0
