town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,杏林大学医学部付属病院,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,順天堂大学医学部附属練馬病院,緑風荘病院,公立昭和病院,佐々総合病院,東久留米市休日診療所,小金井リハビリテーション病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,練馬区石神井休日急患診療所,医療法人社団　東京白報会　みたか在宅診療所,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　新新会　多摩あおば病院,医療法人社団　東光会　西東京中央総合病院,医療法人財団　荻窪病院,城西病院,医療法人社団　薫風会　山田病院,吉祥寺こころの診療所,医療法人社団　東山会　調布東山病院,東村山市休日準夜応急診療所,河北総合病院 分院,社会医療法人社団　愛有会　久米川病院,医療法人社団　山本・前田記念会　前田病院,医療法人社団　杏順会　越川病院,医療法人社団　好仁会　滝山病院,東京都臨時医療施設（国立病院機構東京病院）,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,公益財団法人　榊原記念財団　附属　榊原記念病院,医療法人社団　久保田産婦人科病院,社会福祉法人　聖ヨハネ会　桜町病院,医療法人社団　千秋会　田中脳神経外科病院,杉並区休日等夜間急病診療所,国立研究開発法人　国立精神・神経医療研究センター病院,医療法人財団　慈生会　野村病院,武蔵野赤十字病院,武蔵野陽和会病院,藤村病院,医療法人社団　欣助会　吉祥寺病院,医療法人社団　飯野病院,公益財団法人　結核予防会　複十字病院,天沼診療所,医療法人財団　緑秀会　田無病院,医療法人　泰一会　多摩北整形外科病院,公益財団法人　井之頭病院,医療法人社団　永寿会　三鷹中央病院,医療法人社団　はなぶさ会　島村記念病院,市毛診療所 東京都練馬区,医療法人社団　大日会　小金井太陽病院,東京衛生アドベンチスト病院附属めぐみクリニック,医療法人社団　大坪会　北多摩病院,杉並リハビリテーション病院,医療法人社団　武蔵野会　一橋病院,阿佐ヶ谷すずき診療所,富士見通り診療所,医療法人　啓仁会　森本病院,北多摩生協診療所,大泉生協病院,北多摩中央医療生活協同組合　みなみうら生協診療所,医療法人社団　桐光会　調布病院,医療法人社団　藤啓会　北町診療所
西東京市西原町二丁目,西東京市西原町二丁目,西東京市,西原町二丁目,139.5346670288681,35.73452172139828,0.6467945559312642,2948.0,0.0,0.0,0.0,0.0,475.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市北原町三丁目,西東京市北原町三丁目,西東京市,北原町三丁目,139.5423538782726,35.73495620936585,0.6598963490355839,6253.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市南町三丁目,西東京市南町三丁目,西東京市,南町三丁目,139.54321993018812,35.72496531518558,0.6667960388036066,12123.0,0.0,0.0,0.0,0.0,0.0,1091.0,0.0,0.0,0.0,0.0,0.0,1186.0,0.0,0.0,0.0,0.0,6086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市北原町一丁目,西東京市北原町一丁目,西東京市,北原町一丁目,139.5453243921608,35.73399019480211,0.7530141946522992,9786.0,0.0,0.0,0.0,0.0,0.0,2158.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,1715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市緑町一丁目,西東京市緑町一丁目,西東京市,緑町一丁目,139.53953179224098,35.73701110051625,0.8078795531333994,3410.0,0.0,0.0,0.0,0.0,0.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市南町六丁目,西東京市南町六丁目,西東京市,南町六丁目,139.53239621776203,35.72467780207742,0.8091780868145513,6250.0,0.0,0.0,0.0,0.0,0.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市南町一丁目,西東京市南町一丁目,西東京市,南町一丁目,139.54702300767016,35.72680890347878,0.8120214015218763,5188.0,0.0,0.0,0.0,0.0,0.0,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,0.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市北原町二丁目,西東京市北原町二丁目,西東京市,北原町二丁目,139.54438234117654,35.73644945348671,0.8975108995539224,4840.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,889.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市保谷町四丁目,西東京市保谷町四丁目,西東京市,保谷町四丁目,139.54878423289503,35.730276590915906,0.902992278872544,2410.0,0.0,0.0,0.0,0.0,0.0,937.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市西原町三丁目,西東京市西原町三丁目,西東京市,西原町三丁目,139.5321659387392,35.736179736743026,0.9308889311466192,5771.0,0.0,0.0,0.0,0.0,0.0,2128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0,0.0,0.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
