town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,佐々総合病院,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　東光会　西東京中央総合病院,医療法人社団　薫風会　山田病院,医療法人財団　緑秀会　田無病院,公立昭和病院,医療法人社団　東京白報会　みたか在宅診療所,杏林大学医学部付属病院,武蔵野赤十字病院,順天堂大学医学部附属練馬病院
西東京市緑町二丁目,西東京市緑町二丁目,西東京市,緑町二丁目,139.5358228600698,35.74018141994922,1.1884759020088786,5932.0,1501.0,246.0,271.0,884.0,1433.0,68.0,0.0,104.0,107.0,159.0
西東京市芝久保町五丁目,西東京市芝久保町五丁目,西東京市,芝久保町五丁目,139.52604495836803,35.73312270536918,1.2101757131229864,7158.0,3144.0,87.0,1271.0,585.0,141.0,509.0,0.0,45.0,0.0,0.0
西東京市向台町一丁目,西東京市向台町一丁目,西東京市,向台町一丁目,139.545811324532,35.72048717662784,1.2107991217360026,10949.0,1294.0,1666.0,662.0,1876.0,163.0,200.0,362.0,72.0,33.0,0.0
西東京市柳沢五丁目,西東京市柳沢五丁目,西東京市,柳沢五丁目,139.55048432562654,35.72418557817796,1.2239506714611912,7088.0,1495.0,337.0,775.0,592.0,0.0,191.0,693.0,858.0,0.0,0.0
西東京市西原町四丁目,西東京市西原町四丁目,西東京市,西原町四丁目,139.52842618992833,35.73707472209915,1.2395632157409808,10461.0,2962.0,221.0,1994.0,1014.0,629.0,628.0,42.0,0.0,134.0,187.0
西東京市保谷町三丁目,西東京市保谷町三丁目,西東京市,保谷町三丁目,139.55253574009996,35.73029169886114,1.2412221347846748,4284.0,420.0,397.0,426.0,438.0,109.0,295.0,110.0,33.0,73.0,0.0
西東京市向台町三丁目,西東京市向台町三丁目,西東京市,向台町三丁目,139.5367745550956,35.71871908739822,1.2423356664794876,17947.0,1397.0,10373.0,898.0,1130.0,0.0,588.0,0.0,424.0,503.0,0.0
西東京市泉町一丁目,西東京市泉町一丁目,西東京市,泉町一丁目,139.5484851658315,35.737730036781436,1.2440468880340994,4416.0,1062.0,112.0,263.0,299.0,613.0,334.0,439.0,50.0,218.0,0.0
西東京市芝久保町一丁目,西東京市芝久保町一丁目,西東京市,芝久保町一丁目,139.52638010389225,35.72441110534336,1.269650490062668,15219.0,2509.0,3242.0,3342.0,841.0,0.0,1313.0,0.0,169.0,190.0,354.0
西東京市緑町三丁目,西東京市緑町三丁目,西東京市,緑町三丁目,139.54059717513078,35.74123173614532,1.284770068301131,5482.0,373.0,0.0,549.0,206.0,1992.0,168.0,302.0,132.0,0.0,358.0
西東京市向台町五丁目,西東京市向台町五丁目,西東京市,向台町五丁目,139.52986587425022,35.720430122798845,1.3149207538912155,3074.0,307.0,1490.0,230.0,274.0,0.0,268.0,32.0,69.0,0.0,0.0
西東京市保谷町六丁目,西東京市保谷町六丁目,西東京市,保谷町六丁目,139.55251392725717,35.73443049834032,1.3419633308087735,9560.0,1651.0,606.0,1234.0,569.0,300.0,239.0,245.0,388.0,396.0,0.0
西東京市谷戸町一丁目,西東京市谷戸町一丁目,西東京市,谷戸町一丁目,139.54498925645314,35.74133275373344,1.4018403925256226,12424.0,1517.0,443.0,1283.0,625.0,4558.0,111.0,136.0,0.0,544.0,819.0
西東京市芝久保町四丁目,西東京市芝久保町四丁目,西東京市,芝久保町四丁目,139.52290008897262,35.7311494721405,1.4433820763200336,14105.0,5719.0,263.0,1243.0,806.0,213.0,442.0,248.0,0.0,291.0,0.0
西東京市柳沢一丁目,西東京市柳沢一丁目,西東京市,柳沢一丁目,139.55476892717496,35.72682452887052,1.4782176394420738,3447.0,673.0,51.0,491.0,440.0,0.0,222.0,0.0,42.0,0.0,0.0
西東京市芝久保町三丁目,西東京市芝久保町三丁目,西東京市,芝久保町三丁目,139.52241419345606,35.728668279099914,1.4841555088029033,13696.0,4507.0,617.0,3505.0,723.0,0.0,813.0,40.0,96.0,0.0,0.0
西東京市保谷町二丁目,西東京市保谷町二丁目,西東京市,保谷町二丁目,139.55561540087322,35.730616273763935,1.520764532158044,1479.0,277.0,173.0,249.0,47.0,77.0,42.0,0.0,43.0,0.0,0.0
