CITY_NAME_from_master,S_NAME_from_master,town_name_show,dist_km,LON,LAT,total_87,宇陀市立病院,医療法人吉生会吉井整形外科医院,鳥見眼科,医療法人　山本診療所,奈良市都祁診療所,医療法人飯岡会　のぞみ診療所,医療法人豊生会　加藤クリニック,社会医療法人高清会　高井病院,辻医院,医療法人智光会　城井内科医院
宇陀市,榛原天満台西四丁目,榛原天満台西四丁目,6.32072414266099,135.9698,34.5481,6306,990.0,1378.0,756.0,656.0,0.0,218.0,634.0,489.0,50.0,111.0
宇陀市,室生下笠間,室生下笠間,6.375879852198403,136.022019,34.625064,327,242.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市,榛原天満台東四丁目,榛原天満台東四丁目,6.430614404485129,135.9782,34.5488,1728,443.0,551.0,64.0,98.0,0.0,33.0,223.0,21.0,62.0,81.0
宇陀市,榛原天満台西三丁目,榛原天満台西三丁目,6.437981513894313,135.9709,34.5472,6100,1174.0,512.0,982.0,321.0,0.0,172.0,467.0,0.0,306.0,1011.0
宇陀市,榛原天満台東三丁目,榛原天満台東三丁目,6.492162609188456,135.9769,34.5479,5745,1234.0,800.0,676.0,634.0,0.0,402.0,246.0,0.0,51.0,312.0
奈良市,南田原町,南田原町,6.529223134368934,135.9137721624606,34.6505708087361,431,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
宇陀市,榛原天満台西二丁目,榛原天満台西二丁目,6.541576306521132,135.9718,34.5464,1845,656.0,181.0,26.0,198.0,0.0,27.0,110.0,0.0,0.0,33.0
宇陀市,榛原天満台東二丁目,榛原天満台東二丁目,6.583025778712495,135.9758,34.5468,4220,838.0,426.0,241.0,322.0,0.0,112.0,443.0,408.0,29.0,183.0
宇陀市,榛原天満台西一丁目,榛原天満台西一丁目,6.643822715542632,135.9726,34.5456,6606,950.0,999.0,999.0,346.0,0.0,204.0,963.0,113.0,165.0,545.0
奈良市,中畑町,中畑町,6.653687193265284,135.8893818641552,34.62551863897781,867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,65.0,0.0
天理市,上仁興町,上仁興町,6.661977888023245,135.8923558958167,34.57682672928371,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0
宇陀市,榛原天満台東一丁目,榛原天満台東一丁目,6.680842289263596,135.975451,34.545815,5340,452.0,665.0,432.0,272.0,0.0,230.0,456.0,0.0,188.0,135.0
奈良市,中之庄町,中之庄町,6.863274388703775,135.9158545073725,34.65548059509774,714,0.0,34.0,0.0,34.0,0.0,0.0,0.0,49.0,86.0,0.0
宇陀市,榛原高萩台,榛原高萩台,6.883437231320117,135.9587,34.5421,5249,998.0,322.0,724.0,85.0,0.0,1360.0,0.0,42.0,118.0,618.0
天理市,下仁興町,下仁興町,6.886164358640952,135.8893586062453,34.57727109727026,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市,大字笠,大字笠,6.917572088323291,135.9000331232592,34.56333063644782,4714,0.0,0.0,0.0,275.0,0.0,292.0,0.0,269.0,1490.0,0.0
桜井市,大字萱森,大字萱森,7.083310858640472,135.9247954528,34.54615591328608,273,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市,榛原桜が丘,榛原桜が丘,7.085800407357361,135.9672,34.5408,3568,700.0,239.0,897.0,0.0,0.0,0.0,0.0,213.0,256.0,425.0
奈良市,米谷町,米谷町,7.113614692383695,135.8814935653016,34.61841802188746,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0
奈良市,大野町,大野町,7.196630425252586,135.9191920577675,34.66064557187696,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市,榛原ひのき坂三丁目,榛原ひのき坂三丁目,7.267284994087308,135.9577385,34.5386374,6308,1151.0,1068.0,671.0,938.0,0.0,323.0,798.0,0.0,0.0,262.0
奈良市,茗荷町,茗荷町,7.312282600512128,135.9066449762328,34.65490885221699,478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市,榛原榛見が丘一丁目,榛原榛見が丘一丁目,7.356424278478695,135.9608,34.5379,3308,734.0,561.0,461.0,30.0,0.0,183.0,29.0,32.0,75.0,444.0
奈良市,横田町,横田町,7.377886473496679,135.9105762619714,34.65811513045298,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
奈良市,矢田原町,矢田原町,7.432023544783666,135.8979214951129,34.64966669225463,1415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,175.0,0.0
宇陀市,榛原榛見が丘二丁目,榛原榛見が丘二丁目,7.484778352658408,135.9621,34.5368,3274,581.0,474.0,364.0,0.0,0.0,582.0,0.0,57.0,281.0,50.0
宇陀市,榛原ひのき坂二丁目,榛原ひのき坂二丁目,7.496026852675691,135.958728,34.5365903,4531,688.0,173.0,1132.0,627.0,0.0,120.0,644.0,0.0,131.0,196.0
宇陀市,榛原ひのき坂一丁目,榛原ひのき坂一丁目,7.580301158963738,135.9570793,34.5358211,2772,1073.0,116.0,159.0,646.0,0.0,43.0,538.0,0.0,0.0,0.0
奈良市,水間町,水間町,7.627725838433762,135.9474751951028,34.67211952257942,758,0.0,15.0,0.0,0.0,67.0,0.0,0.0,121.0,44.0,0.0
