CITY_NAME,S_NAME,_city_,_sname_,dominant,max_count,match_type2
大和郡山市,番匠田中町,大和郡山市,番匠田中町,社会医療法人高清会　高井病院,46,exact
大和郡山市,井戸野町,大和郡山市,井戸野町,よしこクリニック,442,exact
大和郡山市,横田町,大和郡山市,横田町,原医院,2547,exact
大和郡山市,石川町,大和郡山市,石川町,原医院,822,exact
大和郡山市,発志院町,大和郡山市,発志院町,社会医療法人高清会　高井病院,137,exact
大和郡山市,中城町,大和郡山市,中城町,社会医療法人高清会　高井病院,186,exact
大和郡山市,櫟枝町,大和郡山市,櫟枝町,原医院,533,exact
大和郡山市,伊豆七条町,大和郡山市,伊豆七条町,原医院,1669,exact
大和郡山市,新庄町,大和郡山市,新庄町,原医院,984,exact
大和郡山市,長安寺町,大和郡山市,長安寺町,八木医院,772,exact
大和郡山市,八条町,大和郡山市,八条町,八木医院,1475,exact
大和郡山市,今国府町,大和郡山市,今国府町,八木医院,10105,exact
大和郡山市,柏木町,大和郡山市,柏木町,牧浦内科,590,exact
大和郡山市,額田部寺町,大和郡山市,額田部寺町,八木医院,2097,exact
大和郡山市,昭和町,大和郡山市,昭和町,牧浦内科,3649,exact
大和郡山市,小泉町東一丁目,大和郡山市,小泉町東一丁目,おおさかクリニック,2000,exact
大和郡山市,小泉町東二丁目,大和郡山市,小泉町東二丁目,おおさかクリニック,3195,exact
大和郡山市,小泉町東三丁目,大和郡山市,小泉町東三丁目,おおさかクリニック,4694,exact
大和郡山市,小林町西一丁目,大和郡山市,小林町西一丁目,八木医院,551,exact
大和郡山市,小林町西二丁目,大和郡山市,小林町西二丁目,おおさかクリニック,467,exact
大和郡山市,小林町西三丁目,大和郡山市,小林町西三丁目,八木医院,1304,exact
天理市,上仁興町,天理市,上仁興町,辻医院,108,exact
天理市,下仁興町,天理市,下仁興町,たかはしファミリークリニック,83,exact
天理市,苣原町,天理市,苣原町,たかはしファミリークリニック,203,exact
天理市,滝本町,天理市,滝本町,公益財団法人　天理よろづ相談所病院,137,exact
天理市,布留町,天理市,布留町,社会医療法人高清会　高井病院,302,exact
天理市,豊井町,天理市,豊井町,医療法人宮城会宮城医院,1429,exact
天理市,三島町,天理市,三島町,公益財団法人　天理よろづ相談所病院,3568,exact
天理市,豊田町,天理市,豊田町,たかはしファミリークリニック,525,exact
天理市,岩屋町,天理市,岩屋町,鹿子木診療所,415,exact
天理市,石上町,天理市,石上町,鹿子木診療所,2345,exact
天理市,田部町,天理市,田部町,公益財団法人　天理よろづ相談所病院,3007,exact
天理市,別所町,天理市,別所町,公益財団法人　天理よろづ相談所病院,1191,exact
天理市,川原城町,天理市,川原城町,医療法人宮城会宮城医院,3043,exact
天理市,丹波市町,天理市,丹波市町,公益財団法人　天理よろづ相談所病院,2183,exact
天理市,丹波市町,天理市,丹波市町,公益財団法人　天理よろづ相談所病院,2183,exact
天理市,守目堂町,天理市,守目堂町,たかはしファミリークリニック,1813,exact
天理市,田町,天理市,田町,たかはしファミリークリニック,5422,exact
天理市,田町,天理市,田町,たかはしファミリークリニック,5422,exact
天理市,勾田町,天理市,勾田町,たかはしファミリークリニック,2458,exact
天理市,御経野町,天理市,御経野町,たかはしファミリークリニック,280,exact
天理市,杣之内町,天理市,杣之内町,たかはしファミリークリニック,2017,exact
天理市,前栽町,天理市,前栽町,クリニックせんざい,4328,exact
天理市,杉本町,天理市,杉本町,クリニックせんざい,3572,exact
天理市,平等坊町,天理市,平等坊町,クリニックせんざい,3135,exact
天理市,小路町,天理市,小路町,クリニックせんざい,3982,exact
天理市,中町,天理市,中町,クリニックせんざい,4809,exact
天理市,南六条町,天理市,南六条町,クリニックせんざい,906,exact
天理市,喜殿町,天理市,喜殿町,公益財団法人　天理よろづ相談所病院,52,exact
天理市,小田中町,天理市,小田中町,たかはしファミリークリニック,71,exact
天理市,指柳町,天理市,指柳町,八木医院,2620,exact
天理市,田井庄町,天理市,田井庄町,たかはしファミリークリニック,2514,exact
天理市,富堂町,天理市,富堂町,たかはしファミリークリニック,7583,exact
天理市,富堂町,天理市,富堂町,たかはしファミリークリニック,7583,exact
天理市,岩室町,天理市,岩室町,たかはしファミリークリニック,1813,exact
天理市,西井戸堂町,天理市,西井戸堂町,たかはしファミリークリニック,9338,exact
天理市,東井戸堂町,天理市,東井戸堂町,たかはしファミリークリニック,11182,exact
天理市,九条町,天理市,九条町,たかはしファミリークリニック,1257,exact
天理市,庵治町,天理市,庵治町,たかはしファミリークリニック,3441,exact
天理市,嘉幡町,天理市,嘉幡町,たかはしファミリークリニック,2333,exact
天理市,二階堂南菅田町,天理市,二階堂南菅田町,おおさかクリニック,692,exact
天理市,二階堂北菅田町,天理市,二階堂北菅田町,社会医療法人高清会　高井病院,347,exact
天理市,二階堂上ノ庄町,天理市,二階堂上ノ庄町,たかはしファミリークリニック,4188,exact
天理市,荒蒔町,天理市,荒蒔町,八木医院,1018,exact
天理市,稲葉町,天理市,稲葉町,八木医院,749,exact
天理市,佐保庄町,天理市,佐保庄町,辻医院,490,exact
天理市,三昧田町,天理市,三昧田町,医療法人宮城会宮城医院,774,exact
天理市,福知堂町,天理市,福知堂町,たかはしファミリークリニック,345,exact
天理市,永原町,天理市,永原町,たかはしファミリークリニック,1602,exact
天理市,長柄町,天理市,長柄町,たかはしファミリークリニック,1809,exact
天理市,兵庫町,天理市,兵庫町,たかはしファミリークリニック,767,exact
天理市,新泉町,天理市,新泉町,たかはしファミリークリニック,549,exact
天理市,岸田町,天理市,岸田町,医療法人髙宮会 髙宮病院,1418,exact
天理市,中山町,天理市,中山町,辻医院,1370,exact
天理市,成願寺町,天理市,成願寺町,たかはしファミリークリニック,621,exact
天理市,萱生町,天理市,萱生町,辻医院,401,exact
天理市,竹之内町,天理市,竹之内町,辻医院,116,exact
天理市,乙木町,天理市,乙木町,辻医院,864,exact
天理市,園原町,天理市,園原町,たかはしファミリークリニック,176,exact
天理市,柳本町,天理市,柳本町,辻医院,8356,exact
天理市,渋谷町,天理市,渋谷町,辻医院,787,exact
天理市,櫟本町,天理市,櫟本町,鹿子木診療所,13144,exact
天理市,楢町,天理市,楢町,鹿子木診療所,754,exact
天理市,蔵之庄町,天理市,蔵之庄町,社会医療法人高清会　高井病院,1584,exact
天理市,森本町,天理市,森本町,社会医療法人高清会　高井病院,535,exact
天理市,中之庄町,天理市,中之庄町,社会医療法人高清会　高井病院,915,exact
天理市,和爾町,天理市,和爾町,鹿子木診療所,1627,exact
天理市,福住町,天理市,福住町,原医院,950,exact
天理市,山田町,天理市,山田町,社会医療法人高清会　高井病院,430,exact
天理市,西長柄町,天理市,西長柄町,たかはしファミリークリニック,8310,exact
桜井市,大字赤尾,桜井市,赤尾,医療法人飯岡会　のぞみ診療所,3802,exact
桜井市,大字下り尾,桜井市,下り尾,医療法人飯岡会　のぞみ診療所,824,exact
桜井市,大字粟原,桜井市,粟原,医療法人飯岡会　のぞみ診療所,1958,exact
桜井市,大字慈恩寺,桜井市,慈恩寺,医療法人飯岡会　のぞみ診療所,8879,exact
桜井市,大字脇本,桜井市,脇本,医療法人飯岡会　のぞみ診療所,767,exact
桜井市,大字黒崎,桜井市,黒崎,医療法人飯岡会　のぞみ診療所,1572,exact
