CITY_NAME,S_NAME,dominant,max_count,sel_dominant,sel_max_count,match_type2
大和郡山市,丹後庄町,おおさかクリニック,514,社会医療法人高清会　高井病院,21,exact
大和郡山市,大江町,医療法人宮城会宮城医院,106,くらもと胃腸科医院,43,exact
大和郡山市,番匠田中町,社会医療法人高清会　高井病院,46,社会医療法人高清会　高井病院,46,exact
大和郡山市,井戸野町,くらもと胃腸科医院,461,くらもと胃腸科医院,461,exact
大和郡山市,横田町,原医院,2547,くらもと胃腸科医院,547,exact
大和郡山市,石川町,原医院,822,,0,exact
大和郡山市,発志院町,社会医療法人高清会　高井病院,137,社会医療法人高清会　高井病院,137,exact
大和郡山市,中城町,社会医療法人高清会　高井病院,186,社会医療法人高清会　高井病院,186,exact
大和郡山市,櫟枝町,原医院,533,社会医療法人高清会　高井病院,205,exact
大和郡山市,伊豆七条町,原医院,1669,社会医療法人高清会　高井病院,373,exact
大和郡山市,新庄町,原医院,984,くらもと胃腸科医院,289,exact
大和郡山市,長安寺町,八木医院,772,くらもと胃腸科医院,46,exact
大和郡山市,八条町,八木医院,1475,くらもと胃腸科医院,114,exact
大和郡山市,今国府町,八木医院,10105,社会医療法人高清会　高井病院,192,exact
大和郡山市,柏木町,牧浦内科,590,,0,exact
大和郡山市,額田部寺町,八木医院,2097,,0,exact
大和郡山市,昭和町,牧浦内科,3649,くらもと胃腸科医院,202,exact
大和郡山市,小泉町東一丁目,おおさかクリニック,2000,くらもと胃腸科医院,53,exact
大和郡山市,小泉町東二丁目,おおさかクリニック,3195,,0,exact
大和郡山市,小泉町東三丁目,おおさかクリニック,4694,くらもと胃腸科医院,40,exact
大和郡山市,小林町西一丁目,八木医院,551,,0,exact
大和郡山市,小林町西二丁目,おおさかクリニック,467,,0,exact
大和郡山市,小林町西三丁目,八木医院,1304,,0,exact
天理市,上仁興町,くらもと胃腸科医院,135,くらもと胃腸科医院,135,exact
天理市,下仁興町,くらもと胃腸科医院,330,くらもと胃腸科医院,330,exact
天理市,苣原町,くらもと胃腸科医院,301,くらもと胃腸科医院,301,exact
天理市,滝本町,くらもと胃腸科医院,271,くらもと胃腸科医院,271,exact
天理市,布留町,くらもと胃腸科医院,859,くらもと胃腸科医院,859,exact
天理市,豊井町,くらもと胃腸科医院,5225,くらもと胃腸科医院,5225,exact
天理市,三島町,くらもと胃腸科医院,3948,くらもと胃腸科医院,3948,exact
天理市,豊田町,くらもと胃腸科医院,1638,くらもと胃腸科医院,1638,exact
天理市,岩屋町,鹿子木診療所,415,くらもと胃腸科医院,302,exact
天理市,石上町,くらもと胃腸科医院,5160,くらもと胃腸科医院,5160,exact
天理市,田部町,くらもと胃腸科医院,10982,くらもと胃腸科医院,10982,exact
天理市,別所町,くらもと胃腸科医院,1819,くらもと胃腸科医院,1819,exact
天理市,川原城町,くらもと胃腸科医院,16622,くらもと胃腸科医院,16622,exact
天理市,丹波市町,くらもと胃腸科医院,8638,くらもと胃腸科医院,8638,exact
天理市,丹波市町,くらもと胃腸科医院,8638,くらもと胃腸科医院,8638,exact
天理市,守目堂町,くらもと胃腸科医院,3029,くらもと胃腸科医院,3029,exact
天理市,田町,くらもと胃腸科医院,8537,くらもと胃腸科医院,8537,exact
天理市,田町,くらもと胃腸科医院,8537,くらもと胃腸科医院,8537,exact
天理市,勾田町,くらもと胃腸科医院,6371,くらもと胃腸科医院,6371,exact
天理市,御経野町,くらもと胃腸科医院,856,くらもと胃腸科医院,856,exact
天理市,杣之内町,くらもと胃腸科医院,2506,くらもと胃腸科医院,2506,exact
天理市,前栽町,くらもと胃腸科医院,11322,くらもと胃腸科医院,11322,exact
天理市,杉本町,クリニックせんざい,3572,くらもと胃腸科医院,3446,exact
天理市,平等坊町,くらもと胃腸科医院,4375,くらもと胃腸科医院,4375,exact
天理市,小路町,クリニックせんざい,3982,くらもと胃腸科医院,1444,exact
天理市,中町,クリニックせんざい,4809,くらもと胃腸科医院,4179,exact
天理市,南六条町,くらもと胃腸科医院,921,くらもと胃腸科医院,921,exact
天理市,喜殿町,くらもと胃腸科医院,128,くらもと胃腸科医院,128,exact
天理市,小田中町,くらもと胃腸科医院,297,くらもと胃腸科医院,297,exact
天理市,指柳町,くらもと胃腸科医院,9208,くらもと胃腸科医院,9208,exact
天理市,田井庄町,くらもと胃腸科医院,11123,くらもと胃腸科医院,11123,exact
天理市,富堂町,たかはしファミリークリニック,7583,くらもと胃腸科医院,6523,exact
天理市,富堂町,たかはしファミリークリニック,7583,くらもと胃腸科医院,6523,exact
天理市,岩室町,たかはしファミリークリニック,1813,くらもと胃腸科医院,1501,exact
天理市,西井戸堂町,たかはしファミリークリニック,9338,くらもと胃腸科医院,3000,exact
天理市,東井戸堂町,たかはしファミリークリニック,11182,くらもと胃腸科医院,5273,exact
天理市,九条町,たかはしファミリークリニック,1257,くらもと胃腸科医院,602,exact
天理市,庵治町,たかはしファミリークリニック,3441,くらもと胃腸科医院,2020,exact
天理市,嘉幡町,たかはしファミリークリニック,2333,くらもと胃腸科医院,803,exact
天理市,二階堂南菅田町,おおさかクリニック,692,くらもと胃腸科医院,631,exact
天理市,二階堂北菅田町,くらもと胃腸科医院,535,くらもと胃腸科医院,535,exact
天理市,二階堂上ノ庄町,くらもと胃腸科医院,6326,くらもと胃腸科医院,6326,exact
天理市,荒蒔町,くらもと胃腸科医院,3755,くらもと胃腸科医院,3755,exact
天理市,稲葉町,くらもと胃腸科医院,990,くらもと胃腸科医院,990,exact
天理市,佐保庄町,くらもと胃腸科医院,1240,くらもと胃腸科医院,1240,exact
天理市,三昧田町,くらもと胃腸科医院,1843,くらもと胃腸科医院,1843,exact
天理市,福知堂町,くらもと胃腸科医院,787,くらもと胃腸科医院,787,exact
天理市,永原町,くらもと胃腸科医院,1736,くらもと胃腸科医院,1736,exact
天理市,長柄町,くらもと胃腸科医院,2444,くらもと胃腸科医院,2444,exact
天理市,兵庫町,くらもと胃腸科医院,1899,くらもと胃腸科医院,1899,exact
天理市,新泉町,くらもと胃腸科医院,899,くらもと胃腸科医院,899,exact
